Sample	proteinfold-avg_pLDDT
LOKIASV2_0988_ESMFold_CoB--CoM_heterodisulfide_reductase_iron-sulfur_subunit_A_family_protein.pdb	90.97
LOKIASV2_0989_ESMFold_hypothetical_protein.pdb	71.06
LOKIASV2_0990_ESMFold_hypothetical_protein.pdb	46.97
LOKIASV2_0991_ESMFold_hypothetical_protein.pdb	68.27
LOKIASV2_0992_ESMFold_sulfurtransferase_TusA_family_protein.pdb	86.95
LOKIASV2_0993_ESMFold_alpha-galactosidase.pdb	91.04
LOKIASV2_0994_ESMFold_hypothetical_protein.pdb	73.13
LOKIASV2_0995_ESMFold_30S_ribosomal_protein_S12.pdb	65.43
LOKIASV2_0996_ESMFold_30S_ribosomal_protein_S7.pdb	76.88
LOKIASV2_0997_ESMFold_hypothetical_protein.pdb	48.7
LOKIASV2_0998_ESMFold_hypothetical_protein.pdb	40.37
LOKIASV2_0999_ESMFold_hypothetical_protein.pdb	71.49
LOKIASV2_1000_ESMFold_aspartate_carbamoyltransferase.pdb	95.04
LOKIASV2_1001_ESMFold_50S_ribosomal_protein_L44e.pdb	61.09
LOKIASV2_1002_ESMFold_30S_ribosomal_protein_S27e.pdb	74.87
LOKIASV2_1003_ESMFold_transcription_factor_S.pdb	66.14
LOKIASV2_1004_ESMFold_hypothetical_protein.pdb	70.17
LOKIASV2_1005_ESMFold_hypothetical_protein.pdb	78.14
LOKIASV2_1006_ESMFold_DNA_polymerase_sliding_clamp.pdb	95.48
LOKIASV2_1007_ESMFold_hypothetical_protein.pdb	84.42
LOKIASV2_1008_ESMFold_hypothetical_protein.pdb	90.27
LOKIASV2_1009_ESMFold_hypothetical_protein.pdb	78.38
LOKIASV2_1010_ESMFold_hypothetical_protein.pdb	51.95
LOKIASV2_1011_ESMFold_translation_initiation_factor_IF-2_subunit_alpha.pdb	91.51
LOKIASV2_1012_ESMFold_Lrp-AsnC_family_transcriptional_regulator.pdb	80.12
LOKIASV2_1013_ESMFold_hypothetical_protein.pdb	42.26
LOKIASV2_1014_ESMFold_tetracycline_resistance_MFS_efflux_pump.pdb	88.42
LOKIASV2_1015_ESMFold_hypothetical_protein.pdb	42.74
LOKIASV2_1016_ESMFold_prolyl-tRNA_synthetase_associated_domain-containing_protein.pdb	81.0
LOKIASV2_1017_ESMFold_hypothetical_protein.pdb	60.75
LOKIASV2_1018_ESMFold_peptidase_U32_family_protein.pdb	90.62
LOKIASV2_1019_ESMFold_hypothetical_protein.pdb	38.05
LOKIASV2_1020_ESMFold_hypothetical_protein.pdb	42.39
LOKIASV2_1021_ESMFold_hypothetical_protein.pdb	61.06
LOKIASV2_1022_ESMFold_hypothetical_protein.pdb	74.88
LOKIASV2_1023_ESMFold_hypothetical_protein.pdb	53.45
LOKIASV2_1024_ESMFold_hypothetical_protein.pdb	36.12
LOKIASV2_1025_ESMFold_hypothetical_protein.pdb	76.6
LOKIASV2_1026_ESMFold_hypothetical_protein.pdb	76.33
LOKIASV2_1027_ESMFold_hypothetical_protein.pdb	89.03
LOKIASV2_1028_ESMFold_MBL_fold_metallo-hydrolase.pdb	82.83
LOKIASV2_1029_ESMFold_hypothetical_protein.pdb	54.81
LOKIASV2_1030_ESMFold_hypothetical_protein.pdb	88.21
LOKIASV2_1031_ESMFold_hypothetical_protein.pdb	87.93
LOKIASV2_1032_ESMFold_thiamine_ABC_transporter_substrate-binding_protein.pdb	75.12
LOKIASV2_1033_ESMFold_iron_ABC_transporter_permease.pdb	92.59
LOKIASV2_1034_ESMFold_ABC_transporter_ATP-binding_protein.pdb	92.85
LOKIASV2_1035_ESMFold_hypothetical_protein.pdb	58.04
LOKIASV2_1036_ESMFold_hypothetical_protein.pdb	78.64
LOKIASV2_1037_ESMFold_hypothetical_protein.pdb	90.54
LOKIASV2_1038_ESMFold_hypothetical_protein.pdb	65.83
LOKIASV2_1039_AF2_pyruvate-_phosphate_dikinase.pdb	91.04
LOKIASV2_1040_ESMFold_hypothetical_protein.pdb	70.57
LOKIASV2_1041_ESMFold_tyrosine--tRNA_ligase.pdb	93.36
LOKIASV2_1042_ESMFold_DNA_polymerase-3-5_exonuclease_PolX.pdb	94.85
LOKIASV2_1043_ESMFold_NAD-dependent_DNA_ligase_LigA.pdb	90.59
LOKIASV2_1044_ESMFold_hypothetical_protein.pdb	78.6
LOKIASV2_1045_ESMFold_hypothetical_protein.pdb	87.49
LOKIASV2_1046_ESMFold_hypothetical_protein.pdb	80.01
LOKIASV2_1047_ESMFold_hypothetical_protein.pdb	77.08
LOKIASV2_1048_ESMFold_hypothetical_protein.pdb	77.01
LOKIASV2_1049_ESMFold_bifunctional_sulfate_adenylyltransferase-adenylylsulfate_kinase.pdb	92.9
LOKIASV2_1050_ESMFold_DNA_repair_and_recombination_protein_RadA.pdb	85.5
LOKIASV2_1051_ESMFold_hypothetical_protein.pdb	79.91
LOKIASV2_1052_ESMFold_alpha-glucan_family_phosphorylase.pdb	90.85
LOKIASV2_1053_ESMFold_hypothetical_protein.pdb	79.91
LOKIASV2_1054_ESMFold_hypothetical_protein.pdb	88.06
LOKIASV2_1055_ESMFold_hypothetical_protein.pdb	84.21
LOKIASV2_1056_ESMFold_hypothetical_protein.pdb	81.92
LOKIASV2_1057_ESMFold_hypothetical_protein.pdb	78.28
LOKIASV2_1058_ESMFold_hypothetical_protein.pdb	34.64
LOKIASV2_1059_ESMFold_hypothetical_protein.pdb	73.15
LOKIASV2_1060_ESMFold_MFS_transporter.pdb	90.18
LOKIASV2_1061_ESMFold_hypothetical_protein.pdb	88.85
LOKIASV2_1062_ESMFold_hypothetical_protein.pdb	52.02
LOKIASV2_1063_ESMFold_hypothetical_protein.pdb	81.31
LOKIASV2_1064_ESMFold_hypothetical_protein.pdb	73.97
LOKIASV2_1065_ESMFold_hypothetical_protein.pdb	81.51
LOKIASV2_1066_ESMFold_peptidylprolyl_isomerase.pdb	92.87
LOKIASV2_1067_ESMFold_M42_family_metallopeptidase.pdb	94.06
LOKIASV2_1068_ESMFold_type_I_glutamate--ammonia_ligase.pdb	93.52
LOKIASV2_1069_ESMFold_hypothetical_protein.pdb	50.96
LOKIASV2_1070_ESMFold_hypothetical_protein.pdb	70.72
LOKIASV2_1071_ESMFold_hypothetical_protein.pdb	82.35
LOKIASV2_1072_ESMFold_hypothetical_protein.pdb	52.24
LOKIASV2_1073_ESMFold_M1_family_metallopeptidase.pdb	82.54
LOKIASV2_1074_ESMFold_ribosome_biogenesis-translation_initiation_ATPase_RLI.pdb	80.14
LOKIASV2_1075_ESMFold_hypothetical_protein.pdb	73.3
LOKIASV2_1076_ESMFold_hypothetical_protein.pdb	84.17
LOKIASV2_1077_ESMFold_carbohydrate_kinase_family_protein.pdb	94.52
LOKIASV2_1078_ESMFold_hypothetical_protein.pdb	70.57
LOKIASV2_1079_ESMFold_hypothetical_protein.pdb	84.81
LOKIASV2_1080_ESMFold_hypothetical_protein.pdb	44.07
LOKIASV2_1081_ESMFold_hypothetical_protein.pdb	80.92
LOKIASV2_1082_ESMFold_hypothetical_protein.pdb	76.2
LOKIASV2_1083_ESMFold_hypothetical_protein.pdb	86.84
LOKIASV2_1084_ESMFold_RimK_family_alpha-L-glutamate_ligase.pdb	91.85
LOKIASV2_1085_ESMFold_SLC45_family_MFS_transporter.pdb	86.22
LOKIASV2_1086_ESMFold_hypothetical_protein.pdb	40.75
LOKIASV2_1087_ESMFold_pyruvate_kinase_alpha-beta_domain-containing_protein.pdb	88.39
LOKIASV2_1088_ESMFold_Gfo-Idh-MocA_family_oxidoreductase.pdb	76.8
LOKIASV2_1089_ESMFold_glucosamine-6-phosphate_isomerase.pdb	91.85
LOKIASV2_1090_ESMFold_hypothetical_protein.pdb	88.87
LOKIASV2_1091_AF2_hypothetical_protein.pdb	76.7
LOKIASV2_1092_ESMFold_hypothetical_protein.pdb	77.07
LOKIASV2_1093_ESMFold_alpha-glucosidase.pdb	84.78
LOKIASV2_1094_ESMFold_hypothetical_protein.pdb	85.24
LOKIASV2_1095_ESMFold_L-fucose-L-arabinose_isomerase_family_protein.pdb	93.98
LOKIASV2_1096_ESMFold_GNAT_family_N-acetyltransferase.pdb	89.81
LOKIASV2_1097_ESMFold_hypothetical_protein.pdb	78.08
LOKIASV2_1098_ESMFold_pyridoxal_phosphate-dependent_aminotransferase_family_protein.pdb	75.77
LOKIASV2_1099_ESMFold_beta-phosphoglucomutase.pdb	96.16
LOKIASV2_1100_ESMFold_AEC_family_transporter.pdb	88.94
LOKIASV2_1101_ESMFold_hypothetical_protein.pdb	52.29
LOKIASV2_1102_ESMFold_hypothetical_protein.pdb	67.57
LOKIASV2_1103_ESMFold_hypothetical_protein.pdb	72.9
LOKIASV2_1104_ESMFold_fructose-6-phosphate_aldolase.pdb	92.11
LOKIASV2_1105_ESMFold_hypothetical_protein.pdb	86.8
LOKIASV2_1106_ESMFold_hypothetical_protein.pdb	91.24
LOKIASV2_1107_ESMFold_hypothetical_protein.pdb	79.35
LOKIASV2_1108_ESMFold_protein-S-isoprenylcysteine_O-methyltransferase.pdb	92.01
LOKIASV2_1109_ESMFold_hypothetical_protein.pdb	82.57
LOKIASV2_1110_ESMFold_hypothetical_protein.pdb	80.36
LOKIASV2_1111_ESMFold_hypothetical_protein.pdb	87.08
LOKIASV2_1112_ESMFold_hypothetical_protein.pdb	73.19
LOKIASV2_1113_AF2_hypothetical_protein.pdb	66.02
LOKIASV2_1114_ESMFold_hypothetical_protein.pdb	63.7
LOKIASV2_1115_ESMFold_hypothetical_protein.pdb	86.95
LOKIASV2_1116_ESMFold_ABC_transporter_permease.pdb	85.84
LOKIASV2_1117_ESMFold_ABC_transporter_ATP-binding_protein.pdb	90.17
LOKIASV2_1118_ESMFold_hypothetical_protein.pdb	39.04
LOKIASV2_1119_ESMFold_hypothetical_protein.pdb	77.05
LOKIASV2_1120_ESMFold_hypothetical_protein.pdb	84.49
LOKIASV2_1121_AF2_cation-translocating_P-type_ATPase.pdb	84.32
LOKIASV2_1122_ESMFold_ribonuclease_PH.pdb	87.21
LOKIASV2_1123_ESMFold_hypothetical_protein.pdb	67.53
LOKIASV2_1124_ESMFold_phenylalanine--tRNA_ligase_subunit_beta.pdb	90.33
LOKIASV2_1125_ESMFold_phenylalanine--tRNA_ligase_subunit_alpha.pdb	89.09
LOKIASV2_1126_ESMFold_phosphopantetheine_adenylyltransferase.pdb	83.27
LOKIASV2_1127_ESMFold_DUF1512_domain-containing_protein.pdb	85.39
LOKIASV2_1128_ESMFold_acylphosphatase.pdb	88.72
LOKIASV2_1129_AF2_hypothetical_protein.pdb	74.17
LOKIASV2_1130_ESMFold_hypothetical_protein.pdb	92.91
LOKIASV2_1131_ESMFold_response_regulator.pdb	86.76
LOKIASV2_1132_ESMFold_hypothetical_protein.pdb	70.53
LOKIASV2_1133_ESMFold_hypothetical_protein.pdb	32.31
LOKIASV2_1134_ESMFold_branched-chain_amino_acid_aminotransferase.pdb	96.11
LOKIASV2_1135_ESMFold_branched-chain_amino_acid_aminotransferase.pdb	95.67
LOKIASV2_1136_ESMFold_hypothetical_protein.pdb	82.07
LOKIASV2_1137_ESMFold_hypothetical_protein.pdb	93.22
LOKIASV2_1138_ESMFold_DUF1295_domain-containing_protein.pdb	94.19
LOKIASV2_1139_ESMFold_dihydrolipoyl_dehydrogenase.pdb	86.74
LOKIASV2_1140_ESMFold_adenylate_kinase.pdb	91.55
LOKIASV2_1141_ESMFold_homoaconitase_large_subunit.pdb	93.16
LOKIASV2_1142_ESMFold_3-isopropylmalate_dehydratase_small_subunit.pdb	87.84
LOKIASV2_1143_ESMFold_hypothetical_protein.pdb	74.94
LOKIASV2_1144_ESMFold_TIGR00295_family_protein.pdb	83.91
LOKIASV2_1145_ESMFold_hypothetical_protein.pdb	82.58
LOKIASV2_1146_ESMFold_IMP_dehydrogenase.pdb	85.48
LOKIASV2_1147_ESMFold_hypothetical_protein.pdb	83.96
LOKIASV2_1148_ESMFold_bifunctional_phosphoribosylaminoimidazolecarboxamide_formyltransferase-IMP_cyclohydrolase.pdb	89.84
LOKIASV2_1149_ESMFold_hypothetical_protein.pdb	85.95
LOKIASV2_1150_ESMFold_thiamine_pyrophosphate-binding_protein.pdb	89.01
LOKIASV2_1151_ESMFold_dihydroxy-acid_dehydratase.pdb	90.9
LOKIASV2_1152_ESMFold_hypothetical_protein.pdb	80.09
LOKIASV2_1153_ESMFold_hypothetical_protein.pdb	89.82
LOKIASV2_1154_ESMFold_gluconokinase.pdb	94.09
LOKIASV2_1155_ESMFold_5-formyltetrahydrofolate_cyclo-ligase.pdb	94.68
LOKIASV2_1156_ESMFold_hypothetical_protein.pdb	46.19
LOKIASV2_1157_ESMFold_hypothetical_protein.pdb	84.97
LOKIASV2_1158_ESMFold_hypothetical_protein.pdb	58.85
LOKIASV2_1159_ESMFold_deoxyribonuclease_IV.pdb	90.31
LOKIASV2_1160_ESMFold_hypothetical_protein.pdb	58.64
LOKIASV2_1161_ESMFold_hypothetical_protein.pdb	76.51
LOKIASV2_1162_ESMFold_hypothetical_protein.pdb	76.73
LOKIASV2_1163_ESMFold_hypothetical_protein.pdb	81.01
LOKIASV2_1164_ESMFold_hypothetical_protein.pdb	74.03
LOKIASV2_1165_ESMFold_hypothetical_protein.pdb	81.53
LOKIASV2_1166_ESMFold_hypothetical_protein.pdb	47.75
LOKIASV2_1167_ESMFold_hypothetical_protein.pdb	50.28
LOKIASV2_1168_ESMFold_threonine--tRNA_ligase.pdb	81.2
LOKIASV2_1169_ESMFold_HAD_family_hydrolase.pdb	88.78
LOKIASV2_1170_ESMFold_hypothetical_protein.pdb	70.06
LOKIASV2_1171_ESMFold_hypothetical_protein.pdb	79.79
LOKIASV2_1172_ESMFold_hypothetical_protein.pdb	65.22
LOKIASV2_1173_ESMFold_transcription_initiation_factor_IIB.pdb	87.79
LOKIASV2_1174_ESMFold_hypothetical_protein.pdb	37.02
LOKIASV2_1175_ESMFold_hypothetical_protein.pdb	69.41
LOKIASV2_1176_ESMFold_hypothetical_protein.pdb	52.75
LOKIASV2_1177_ESMFold_hypothetical_protein.pdb	33.77
LOKIASV2_1178_ESMFold_archaetidylinositol_phosphate_synthase.pdb	89.44
LOKIASV2_1179_ESMFold_hypothetical_protein.pdb	81.19
LOKIASV2_1180_ESMFold_30S_ribosomal_protein_S26e.pdb	67.13
LOKIASV2_1181_ESMFold_hypothetical_protein.pdb	79.37
LOKIASV2_1182_ESMFold_hypothetical_protein.pdb	59.99
LOKIASV2_1183_ESMFold_hypothetical_protein.pdb	67.16
LOKIASV2_1184_ESMFold_DUF2961_domain-containing_protein.pdb	76.4
LOKIASV2_1185_ESMFold_molybdopterin-guanine_dinucleotide_biosynthesis_protein_B.pdb	78.44
LOKIASV2_1186_ESMFold_hypothetical_protein.pdb	31.19
LOKIASV2_1187_ESMFold_AIR_synthase_family_protein.pdb	89.33
LOKIASV2_1188_ESMFold_hypothetical_protein.pdb	71.77
LOKIASV2_1189_ESMFold_hypothetical_protein.pdb	83.52
LOKIASV2_1190_ESMFold_hypothetical_protein.pdb	51.86
LOKIASV2_1191_ESMFold_hypothetical_protein.pdb	31.6
LOKIASV2_1192_ESMFold_hypothetical_protein.pdb	70.62
LOKIASV2_1193_ESMFold_hypothetical_protein.pdb	54.78
LOKIASV2_1194_ESMFold_phosphatidylserine_decarboxylase.pdb	88.93
LOKIASV2_1195_ESMFold_GNAT_family_protein.pdb	93.84
LOKIASV2_1196_ESMFold_hypothetical_protein.pdb	43.3
LOKIASV2_1197_ESMFold_TATA-box-binding_protein.pdb	92.89
LOKIASV2_1198_ESMFold_hypothetical_protein.pdb	83.93
LOKIASV2_1199_ESMFold_hypothetical_protein.pdb	68.29
LOKIASV2_1200_ESMFold_hypothetical_protein.pdb	78.1
LOKIASV2_1201_ESMFold_TATA-box-binding_protein.pdb	93.94
LOKIASV2_1202_AF2_hypothetical_protein.pdb	67.61
LOKIASV2_1203_ESMFold_hypothetical_protein.pdb	73.82
LOKIASV2_1204_ESMFold_hypothetical_protein.pdb	88.22
LOKIASV2_1205_ESMFold_hypothetical_protein.pdb	59.93
LOKIASV2_1206_ESMFold_hypothetical_protein.pdb	87.88
LOKIASV2_1207_ESMFold_SDR_family_oxidoreductase.pdb	95.06
LOKIASV2_1208_ESMFold_molecular_chaperone_DnaJ.pdb	85.97
LOKIASV2_1209_ESMFold_hypothetical_protein.pdb	73.2
LOKIASV2_1210_ESMFold_hypothetical_protein.pdb	90.27
LOKIASV2_1211_ESMFold_Gfo-Idh-MocA_family_oxidoreductase.pdb	84.39
LOKIASV2_1212_ESMFold_hypothetical_protein.pdb	85.06
LOKIASV2_1213_ESMFold_molecular_chaperone_DnaK.pdb	87.01
LOKIASV2_1214_ESMFold_hypothetical_protein.pdb	94.98
LOKIASV2_1215_ESMFold_hypothetical_protein.pdb	74.21
LOKIASV2_1216_ESMFold_hypothetical_protein.pdb	52.12
LOKIASV2_1217_ESMFold_hypothetical_protein.pdb	48.55
LOKIASV2_1218_ESMFold_ribose_1-5-bisphosphokinase.pdb	92.89
LOKIASV2_1219_ESMFold_isoprenylcysteine_carboxylmethyltransferase_family_protein.pdb	80.81
LOKIASV2_1220_ESMFold_hypothetical_protein.pdb	34.27
LOKIASV2_1221_ESMFold_hypothetical_protein.pdb	62.78
LOKIASV2_1222_ESMFold_hypothetical_protein.pdb	90.1
LOKIASV2_1223_ESMFold_ArsB-NhaD_family_transporter.pdb	91.89
LOKIASV2_1224_ESMFold_alanyl-tRNA_editing_protein_AlaXM.pdb	94.98
LOKIASV2_1225_ESMFold_hypothetical_protein.pdb	63.35
LOKIASV2_1226_ESMFold_hypothetical_protein.pdb	48.88
LOKIASV2_1227_ESMFold_hypothetical_protein.pdb	81.34
LOKIASV2_1228_AF2_chromosome_segregation_protein_SMC.pdb	82.43
LOKIASV2_1229_ESMFold_hypothetical_protein.pdb	84.82
LOKIASV2_1230_ESMFold_hypothetical_protein.pdb	74.75
LOKIASV2_1231_ESMFold_hypothetical_protein.pdb	78.74
LOKIASV2_1232_ESMFold_hypothetical_protein.pdb	80.94
LOKIASV2_1233_ESMFold_hypothetical_protein.pdb	76.55
LOKIASV2_1234_ESMFold_putative_cobaltochelatase.pdb	80.43
LOKIASV2_1235_ESMFold_hypothetical_protein.pdb	92.11
LOKIASV2_1236_ESMFold_CTP_synthase.pdb	84.7
LOKIASV2_1237_ESMFold_threonine_synthase.pdb	94.77
LOKIASV2_1238_ESMFold_hypothetical_protein.pdb	80.68
LOKIASV2_1239_ESMFold_hypothetical_protein.pdb	82.46
LOKIASV2_1240_ESMFold_type_I_glutamate--ammonia_ligase.pdb	93.28
LOKIASV2_1241_ESMFold_hypothetical_protein.pdb	92.15
LOKIASV2_1242_ESMFold_hypothetical_protein.pdb	87.9
LOKIASV2_1243_ESMFold_zinc_transporter_ZupT.pdb	91.0
LOKIASV2_1244_ESMFold_manganese_ABC_transporter_ATP-binding_protein_MntB.pdb	90.59
LOKIASV2_1245_ESMFold_metal_ABC_transporter_permease.pdb	91.12
LOKIASV2_1246_ESMFold_metal_ABC_transporter_substrate-binding_protein.pdb	88.66
LOKIASV2_1247_ESMFold_hypothetical_protein.pdb	72.76
LOKIASV2_1248_ESMFold_hypothetical_protein.pdb	78.01
LOKIASV2_1249_ESMFold_hypothetical_protein.pdb	84.92
LOKIASV2_1250_ESMFold_hypothetical_protein.pdb	80.83
LOKIASV2_1251_ESMFold_hypothetical_protein.pdb	88.11
LOKIASV2_1252_ESMFold_ribonuclease_Z.pdb	78.48
LOKIASV2_1253_ESMFold_hypothetical_protein.pdb	81.64
LOKIASV2_1254_ESMFold_hypothetical_protein.pdb	82.41
LOKIASV2_1255_ESMFold_hypothetical_protein.pdb	79.82
LOKIASV2_1256_ESMFold_hypothetical_protein.pdb	74.88
LOKIASV2_1257_ESMFold_roadblock-LC7_domain-containing_protein.pdb	81.78
LOKIASV2_1258_ESMFold_hypothetical_protein.pdb	82.81
LOKIASV2_1259_ESMFold_hypothetical_protein.pdb	61.41
LOKIASV2_1260_ESMFold_hypothetical_protein.pdb	83.22
LOKIASV2_1261_ESMFold_hypothetical_protein.pdb	62.79
LOKIASV2_1262_ESMFold_hypothetical_protein.pdb	62.39
LOKIASV2_1263_ESMFold_hypothetical_protein.pdb	80.32
LOKIASV2_1264_ESMFold_DUF302_domain-containing_protein.pdb	82.82
LOKIASV2_1265_ESMFold_carboxymuconolactone_decarboxylase_family_protein.pdb	86.15
LOKIASV2_1266_ESMFold_hypothetical_protein.pdb	84.8
LOKIASV2_1267_ESMFold_hypothetical_protein.pdb	55.8
LOKIASV2_1268_ESMFold_hypothetical_protein.pdb	85.02
LOKIASV2_1269_ESMFold_hypothetical_protein.pdb	77.58
LOKIASV2_1270_ESMFold_NAD-P--FAD-dependent_oxidoreductase.pdb	94.37
LOKIASV2_1271_ESMFold_DUF547_domain-containing_protein.pdb	92.48
LOKIASV2_1272_ESMFold_mucoidy_inhibitor_MuiA.pdb	89.73
LOKIASV2_1273_ESMFold_HAD_family_hydrolase.pdb	92.37
LOKIASV2_1274_ESMFold_hypothetical_protein.pdb	65.12
LOKIASV2_1275_ESMFold_hypothetical_protein.pdb	70.66
LOKIASV2_1276_ESMFold_YjjG_family_noncanonical_pyrimidine_nucleotidase.pdb	89.5
LOKIASV2_1277_ESMFold_hypothetical_protein.pdb	50.87
LOKIASV2_1278_ESMFold_3-oxoacyl--acyl-carrier-protein-_reductase.pdb	82.79
LOKIASV2_1279_ESMFold_hypothetical_protein.pdb	36.56
LOKIASV2_1280_ESMFold_hypothetical_protein.pdb	73.74
LOKIASV2_1281_ESMFold_hypothetical_protein.pdb	61.5
LOKIASV2_1282_ESMFold_hypothetical_protein.pdb	47.83
LOKIASV2_1283_ESMFold_DNA-directed_RNA_polymerase.pdb	94.03
LOKIASV2_1284_ESMFold_DNA-directed_RNA_polymerase_subunit_E--.pdb	87.74
LOKIASV2_1285_ESMFold_hypothetical_protein.pdb	67.46
LOKIASV2_1286_ESMFold_hypothetical_protein.pdb	84.79
LOKIASV2_1287_ESMFold_hypothetical_protein.pdb	46.71
LOKIASV2_1288_ESMFold_30S_ribosomal_protein_S24e.pdb	78.6
LOKIASV2_1289_ESMFold_hypothetical_protein.pdb	59.56
LOKIASV2_1290_ESMFold_bifunctional_N-6--L-threonylcarbamoyladenine_synthase-serine-threonine_protein_kinase.pdb	90.45
LOKIASV2_1291_ESMFold_hypothetical_protein.pdb	89.11
LOKIASV2_1292_ESMFold_HAD-IIA_family_hydrolase.pdb	93.79
LOKIASV2_1293_ESMFold_hypothetical_protein.pdb	49.0
LOKIASV2_1294_ESMFold_histidine--tRNA_ligase.pdb	94.11
LOKIASV2_1295_ESMFold_hypothetical_protein.pdb	76.84
LOKIASV2_1296_ESMFold_N-acetylglucosamine-6-phosphate_deacetylase.pdb	92.13
LOKIASV2_1297_ESMFold_glucosamine-6-phosphate_deaminase.pdb	95.59
LOKIASV2_1298_ESMFold_MFS_transporter.pdb	91.36
LOKIASV2_1299_ESMFold_hypothetical_protein.pdb	71.97
LOKIASV2_1300_ESMFold_DNA-directed_RNA_polymerase_subunit_N.pdb	72.42
LOKIASV2_1301_ESMFold_50S_ribosomal_protein_L7Ae.pdb	86.11
LOKIASV2_1302_ESMFold_30S_ribosomal_protein_S28e.pdb	61.54
LOKIASV2_1303_ESMFold_hypothetical_protein.pdb	68.09
LOKIASV2_1304_ESMFold_translation_initiation_factor_IF-2.pdb	87.4
LOKIASV2_1305_ESMFold_hypothetical_protein.pdb	87.03
LOKIASV2_1306_AF2_hypothetical_protein.pdb	72.11
LOKIASV2_1307_ESMFold_GNAT_family_N-acetyltransferase.pdb	95.46
LOKIASV2_1308_ESMFold_glucose-6-phosphate_isomerase.pdb	94.69
LOKIASV2_1309_ESMFold_hypothetical_protein.pdb	81.69
LOKIASV2_1310_ESMFold_hypothetical_protein.pdb	76.5
LOKIASV2_1311_AF2_hypothetical_protein.pdb	76.61
LOKIASV2_1312_ESMFold_hypothetical_protein.pdb	88.55
LOKIASV2_1313_ESMFold_peptidylprolyl_isomerase.pdb	84.84
LOKIASV2_1314_AF2_hypothetical_protein.pdb	53.56
LOKIASV2_1315_ESMFold_hypothetical_protein.pdb	87.85
LOKIASV2_1316_ESMFold_hypothetical_protein.pdb	72.15
LOKIASV2_1317_AF2_alpha-mannosidase.pdb	92.57
LOKIASV2_1318_ESMFold_ZIP_family_metal_transporter.pdb	90.07
LOKIASV2_1319_AF2_hypothetical_protein.pdb	77.77
LOKIASV2_1320_ESMFold_MBL_fold_metallo-hydrolase.pdb	73.07
LOKIASV2_1321_ESMFold_hypothetical_protein.pdb	73.4
LOKIASV2_1322_ESMFold_hypothetical_protein.pdb	70.04
LOKIASV2_1323_ESMFold_hypothetical_protein.pdb	38.82
LOKIASV2_1324_ESMFold_ribonuclease_Z.pdb	70.85
LOKIASV2_1325_ESMFold_hypothetical_protein.pdb	78.17
LOKIASV2_1326_ESMFold_hypothetical_protein.pdb	92.91
LOKIASV2_1327_ESMFold_bis-5--nucleosyl--tetraphosphatase.pdb	85.57
LOKIASV2_1328_ESMFold_hypothetical_protein.pdb	65.37
LOKIASV2_1329_ESMFold_NADH-dependent_-FeFe-_hydrogenase-_group_A6.pdb	91.57
LOKIASV2_1330_ESMFold_NADH-quinone_oxidoreductase_subunit_NuoF.pdb	92.22
LOKIASV2_1331_ESMFold_NADH-quinone_oxidoreductase_subunit_NuoE.pdb	81.22
LOKIASV2_1332_ESMFold_hypothetical_protein.pdb	64.3
LOKIASV2_1333_ESMFold_hypothetical_protein.pdb	78.25
LOKIASV2_1334_ESMFold_hypothetical_protein.pdb	86.74
LOKIASV2_1335_ESMFold_ATP-binding_cassette_domain-containing_protein.pdb	90.94
LOKIASV2_1336_ESMFold_hypothetical_protein.pdb	78.61
LOKIASV2_1337_ESMFold_dihydrolipoyl_dehydrogenase.pdb	95.63
LOKIASV2_1338_ESMFold_hypothetical_protein.pdb	42.45
LOKIASV2_1339_ESMFold_hypothetical_protein.pdb	90.64
LOKIASV2_1340_AF2_hypothetical_protein.pdb	78.74
LOKIASV2_1341_ESMFold_hypothetical_protein.pdb	39.46
LOKIASV2_1342_ESMFold_MazG_nucleotide_pyrophosphohydrolase_domain-containing_protein.pdb	80.81
LOKIASV2_1343_ESMFold_RNA-guided_endonuclease_TnpB_family_protein.pdb	90.86
LOKIASV2_1344_ESMFold_IS200-IS605_family_transposase.pdb	73.0
LOKIASV2_1345_ESMFold_DNA_polymerase_IV.pdb	93.63
LOKIASV2_1346_ESMFold_hypothetical_protein.pdb	88.21
LOKIASV2_1347_ESMFold_nickel_pincer_cofactor_biosynthesis_protein_LarB.pdb	93.17
LOKIASV2_1348_ESMFold_hypothetical_protein.pdb	70.79
LOKIASV2_1349_AF2_hypothetical_protein.pdb	86.9
LOKIASV2_1350_ESMFold_hypothetical_protein.pdb	83.82
LOKIASV2_1351_ESMFold_hypothetical_protein.pdb	75.45
LOKIASV2_1352_ESMFold_hypothetical_protein.pdb	74.13
LOKIASV2_1353_ESMFold_hypothetical_protein.pdb	24.91
LOKIASV2_1354_ESMFold_hypothetical_protein.pdb	68.89
LOKIASV2_1355_ESMFold_hypothetical_protein.pdb	86.83
LOKIASV2_1356_ESMFold_hypothetical_protein.pdb	77.98
LOKIASV2_1357_ESMFold_HAD_family_hydrolase.pdb	84.98
LOKIASV2_1358_ESMFold_acetoin_utilization_protein_AcuC.pdb	91.7
LOKIASV2_1359_ESMFold_hypothetical_protein.pdb	68.05
LOKIASV2_1360_ESMFold_hypothetical_protein.pdb	37.37
LOKIASV2_1361_ESMFold_nickel-dependent_lactate_racemase.pdb	93.21
LOKIASV2_1362_ESMFold_DUF5714_domain-containing_protein.pdb	86.09
